listing_id,source,district,ubigeo,address,urbanization,price_soles,area_m2,price_per_m2,rooms,bathrooms,parking,maintenance_fee,photos_count,district_median_price_m2,baseline_price_soles,opportunity_score_baseline,bcrp_price_m2_usd,bcrp_price_rent_ratio,proyectos_nuevos_distrito,unidades_nuevas_distrito,crime_index_zone,crime_trend_zone,urban_convenience_index,zone_composite_index,idh_2019,pct_pobreza_total
146134882,Urbania,BARRANCO,150104,Manuel Gonzales Prada - Venta de Departamento Ubicado en Barranco Frente a Parque,Barranco,675500.0,75.0,9006.666666666666,2,2,0,0.0,10,9299.0,697425.0,0.031,2555.56,,2,39,0.659,estable,0.526,0.434,0.820764283821305,3.172325
149874697,Urbania,BARRANCO,150104,Av. El Sol 505,Barranco,676851.0,82.0,8254.280487804877,3,2,0,300.0,1,9299.0,762518.0,0.112,2555.56,,2,39,0.659,estable,0.526,0.434,0.820764283821305,3.172325
149654882,Urbania,BARRANCO,150104,Avenida San Martín 625,Barranco,678000.0,67.0,10119.402985074626,2,2,1,250.0,10,9299.0,623033.0,-0.088,2555.56,,2,39,0.659,estable,0.526,0.434,0.820764283821305,3.172325
148663112,Urbania,BARRANCO,150104,Jr Carlos Arrieta al 300,Barranco,682900.0,74.0,9228.378378378378,3,2,0,0.0,1,9299.0,688126.0,0.008,2555.56,,2,39,0.659,estable,0.526,0.434,0.820764283821305,3.172325
145676971,Urbania,BARRANCO,150104,JIRON 2 DE MAYO,Barranco,684657.0,83.0,8248.87951807229,2,2,0,350.0,1,9299.0,771817.0,0.113,2555.56,,2,39,0.659,estable,0.526,0.434,0.820764283821305,3.172325
149013349,Urbania,BARRANCO,150104,Flat de Lujo,Barranco,686100.0,74.0,9271.621621621622,3,2,0,0.0,1,9299.0,688126.0,0.003,2555.56,,2,39,0.659,estable,0.526,0.434,0.820764283821305,3.172325
4647749,Urbania,BARRANCO,150104,Catalino Miranda,Barranco,690000.0,137.0,5036.496350364963,3,3,1,0.0,1,9299.0,1273963.0,0.458,2555.56,,2,39,0.659,estable,0.526,0.434,0.820764283821305,3.172325
146007021,Urbania,BARRANCO,150104,AVENIDA PEDRO DE OSMA,Barranco,696218.0,83.0,8388.168674698794,2,2,0,499.0,1,9299.0,771817.0,0.098,2555.56,,2,39,0.659,estable,0.526,0.434,0.820764283821305,3.172325
148049495,Urbania,BARRANCO,150104,2 de Mayo,Barranco,696219.0,83.0,8388.180722891566,2,2,1,0.0,1,9299.0,771817.0,0.098,2555.56,,2,39,0.659,estable,0.526,0.434,0.820764283821305,3.172325
149245842,Urbania,BARRANCO,150104,"Jirón Pedro Solar N 1, Piso 2, Barranco",Barranco,697000.0,59.0,11813.559322033898,1,1,1,0.0,1,9299.0,548641.0,-0.27,2555.56,,2,39,0.659,estable,0.526,0.434,0.820764283821305,3.172325
148738878,Urbania,BARRANCO,150104,Aurelio Souza 447,Barranco,700000.0,132.0,5303.030303030303,3,3,1,0.0,1,9299.0,1227468.0,0.43,2555.56,,2,39,0.659,estable,0.526,0.434,0.820764283821305,3.172325
148094377,Urbania,BARRANCO,150104,Jirón Fedelli 101,Barranco,700000.0,83.0,8433.734939759037,3,2,1,400.0,1,9299.0,771817.0,0.093,2555.56,,2,39,0.659,estable,0.526,0.434,0.820764283821305,3.172325
149866499,Urbania,BARRANCO,150104,Jirón Centenario 129,Barranco,700000.0,87.0,8045.977011494253,1,1,1,0.0,1,9299.0,809013.0,0.135,2555.56,,2,39,0.659,estable,0.526,0.434,0.820764283821305,3.172325
146514842,Urbania,BARRANCO,150104,Pasaje Pedro Solari 104,Barranco,710000.0,173.0,4104.046242774566,3,3,1,341.0,1,9299.0,1608727.0,0.559,2555.56,,2,39,0.659,estable,0.526,0.434,0.820764283821305,3.172325
148465465,Urbania,BARRANCO,150104,JR.2 DE MAYO,Barranco,715841.0,78.0,9177.448717948719,2,3,0,2.0,1,9299.0,725322.0,0.013,2555.56,,2,39,0.659,estable,0.526,0.434,0.820764283821305,3.172325
146018330,Urbania,BARRANCO,150104,"Jirón 2 DE Mayo N° 1xx, Dpto. 103",Barranco,716219.0,111.0,6452.423423423424,2,2,0,0.0,1,9299.0,1032189.0,0.306,2555.56,,2,39,0.659,estable,0.526,0.434,0.820764283821305,3.172325
148044979,Urbania,BARRANCO,150104,2 de Mayo,Barranco,716795.0,85.0,8432.882352941177,2,2,1,0.0,1,9299.0,790415.0,0.093,2555.56,,2,39,0.659,estable,0.526,0.434,0.820764283821305,3.172325
148436303,Urbania,BARRANCO,150104,Avenida Reducto 851,Tejada Alta,718000.0,92.0,7804.347826086957,2,2,1,450.0,1,9299.0,855508.0,0.161,2555.56,,2,39,0.659,estable,0.526,0.434,0.820764283821305,3.172325
146268281,Urbania,BARRANCO,150104,Psj. Rospigliosi,Barranco,720720.0,95.0,7586.526315789473,2,2,1,400.0,1,9299.0,883405.0,0.184,2555.56,,2,39,0.659,estable,0.526,0.434,0.820764283821305,3.172325
148249807,Urbania,BARRANCO,150104,Av. San Martin 617 Barranco  al 600,Barranco,734660.0,104.0,7064.038461538462,3,2,2,0.0,1,9299.0,967096.0,0.24,2555.56,,2,39,0.659,estable,0.526,0.434,0.820764283821305,3.172325
148816519,Urbania,BARRANCO,150104,Felipe Sassone 183,Barranco,734800.0,92.0,7986.95652173913,3,2,1,450.0,1,9299.0,855508.0,0.141,2555.56,,2,39,0.659,estable,0.526,0.434,0.820764283821305,3.172325
148901577,Urbania,BARRANCO,150104,Pasaje Fidelli 101,Barranco,735240.0,80.0,9190.5,2,2,1,430.0,1,9299.0,743920.0,0.012,2555.56,,2,39,0.659,estable,0.526,0.434,0.820764283821305,3.172325
