ANIO,MES,DPTO_HECHO_NEW,PROV_HECHO,DIST_HECHO,UBIGEO_HECHO,P_MODALIDADES,cantidad
2024,11,PROV. CONST. DEL CALLAO,CALLAO,BELLAVISTA,70102,Robo,9
2024,11,PROV. CONST. DEL CALLAO,CALLAO,CALLAO,70101,Otros,579
2024,11,PROV. CONST. DEL CALLAO,CALLAO,CALLAO,70101,Robo,149
2024,11,PROV. CONST. DEL CALLAO,CALLAO,CALLAO,70101,Violencia contra la mujer e integrantes,577
2024,11,LIMA METROPOLITANA,LIMA,CHACLACAYO,150107,Estafa,5
2024,11,LIMA METROPOLITANA,LIMA,COMAS,150110,Extorsión,78
2024,11,LIMA METROPOLITANA,LIMA,INDEPENDENCIA,150112,Extorsión,16
2024,11,LIMA METROPOLITANA,LIMA,LIMA,150101,Otros,926
2024,11,LIMA METROPOLITANA,LIMA,LURIN,150119,Secuestro,1
2024,11,LIMA METROPOLITANA,LIMA,MAGDALENA DEL MAR,150120,Estafa,25
2024,11,LIMA METROPOLITANA,LIMA,PACHACAMAC,150123,Hurto,33
2024,11,LIMA METROPOLITANA,LIMA,PUEBLO LIBRE,150121,Extorsión,3
2024,11,LIMA METROPOLITANA,LIMA,PUEBLO LIBRE,150121,Robo,21
2024,11,LIMA METROPOLITANA,LIMA,SANTA ANITA,150137,Hurto,125
2024,11,LIMA METROPOLITANA,LIMA,SANTA ROSA,150139,Estafa,1
2024,11,LIMA METROPOLITANA,LIMA,SANTA ROSA,150139,Violencia contra la mujer e integrantes,27
2024,11,LIMA METROPOLITANA,LIMA,SANTIAGO DE SURCO,150140,Hurto,384
2024,11,LIMA METROPOLITANA,LIMA,SANTIAGO DE SURCO,150140,Otros,353
2024,11,LIMA METROPOLITANA,LIMA,SURQUILLO,150141,Estafa,17
2024,11,LIMA METROPOLITANA,LIMA,SURQUILLO,150141,Robo,17
2024,11,LIMA METROPOLITANA,LIMA,SURQUILLO,150141,Violencia contra la mujer e integrantes,48
2024,11,PROV. CONST. DEL CALLAO,CALLAO,VENTANILLA,70106,Hurto,63
2024,11,PROV. CONST. DEL CALLAO,CALLAO,VENTANILLA,70106,Robo,27
2024,11,LIMA METROPOLITANA,LIMA,VILLA MARIA DEL TRIUNFO,150143,Estafa,32
2024,11,LIMA METROPOLITANA,LIMA,VILLA MARIA DEL TRIUNFO,150143,Hurto,232
2024,12,LIMA METROPOLITANA,LIMA,ATE,150103,Robo,104
2024,12,LIMA METROPOLITANA,LIMA,BARRANCO,150104,Otros,110
2024,12,PROV. CONST. DEL CALLAO,CALLAO,CALLAO,70101,Estafa,77
2024,12,PROV. CONST. DEL CALLAO,CALLAO,CALLAO,70101,Robo,152
2024,12,PROV. CONST. DEL CALLAO,CALLAO,CARMEN DE LA LEGUA REYNOSO,70103,Otros,11
2024,12,LIMA METROPOLITANA,LIMA,CHACLACAYO,150107,Secuestro,1
2024,12,LIMA METROPOLITANA,LIMA,COMAS,150110,Hurto,286
2024,12,PROV. CONST. DEL CALLAO,CALLAO,LA PERLA,70104,Extorsión,6
2024,12,PROV. CONST. DEL CALLAO,CALLAO,LA PUNTA,70105,Otros,7
2024,12,LIMA METROPOLITANA,LIMA,LIMA,150101,Robo,338
2024,12,LIMA METROPOLITANA,LIMA,LOS OLIVOS,150117,Extorsión,36
2024,12,LIMA METROPOLITANA,LIMA,LOS OLIVOS,150117,Otros,361
2024,12,LIMA METROPOLITANA,LIMA,LURIN,150119,Secuestro,2
2024,12,LIMA METROPOLITANA,LIMA,MAGDALENA DEL MAR,150120,Estafa,25
2024,12,LIMA METROPOLITANA,LIMA,MAGDALENA DEL MAR,150120,Violencia contra la mujer e integrantes,35
2024,12,PROV. CONST. DEL CALLAO,CALLAO,MI PERU,70107,Otros,10
2024,12,LIMA METROPOLITANA,LIMA,PUCUSANA,150124,Violencia contra la mujer e integrantes,18
2024,12,LIMA METROPOLITANA,LIMA,PUNTA HERMOSA,150126,Otros,20
