ubigeo,distrito,url
150111,EL AGUSTINO,https://drive.google.com/uc?id=1Xutk9Lhbpop82V4TNdOOWFVAF19-J9Sb&export=download
150112,INDEPENDENCIA,https://drive.google.com/uc?id=1hvy2Tr-fodhFqdZ7W491uhMevoqdCJQq&export=download
150113,JESUS MARIA,https://drive.google.com/uc?id=1IawD5N7u7TFhGqjHguVMd97Lo5J8FPZ7&export=download
150114,LA MOLINA,https://drive.google.com/uc?id=1nmkqBy7crVeqAFYdedTjo4ejailUuDXB&export=download
150115,LA VICTORIA,https://drive.google.com/uc?id=1Jy9GrsAUdqTGrAzFfoKFgovRAOnhdqTu&export=download
150116,LINCE,https://drive.google.com/uc?id=1KGn9qGenwN4rZFuERWUaxnFtgkEg_O_Y&export=download
150117,LOS OLIVOS,https://drive.google.com/uc?id=1xS2SzpHyEipFgFdqH1XaRUHESy_U-9sU&export=download
150118,LURIGANCHO,https://drive.google.com/uc?id=1nOSbmjrqTAHUsIqrG_E4B9gqdQInXwOy&export=download
150119,LURIN,https://drive.google.com/uc?id=1NxYXC-fEoQH8HaqLAV7rp3bLmIVXwVlD&export=download
150120,MAGDALENA DEL MAR,https://drive.google.com/uc?id=1R-BNy0rq9z7TIKnhnYiX6UZPVQ6KaK3Y&export=download
150121,PUEBLO LIBRE,https://drive.google.com/uc?id=1wNODwyUlvBV5Hajj5GD87B81sUxuwELd&export=download
150122,MIRAFLORES,https://drive.google.com/uc?id=1cx6nIk3FqMQxWV55c0V-22dFCJB7MC5m&export=download
150123,PACHACAMAC,https://drive.google.com/uc?id=1kXL4JDoUxcSO7RDW4k_noK6R3SHwkDPk&export=download
150124,PUCUSANA,https://drive.google.com/uc?id=1lKJtnoNMgPxKl485W7y0qJWtt_hDO6Lv&export=download
150125,PUENTE PIEDRA,https://drive.google.com/uc?id=10KusZfPvonUJYExrKL_epJJ3IThvUJPg&export=download
150126,PUNTA HERMOSA,https://drive.google.com/uc?id=1CSbX-R4Fh5RY2hJDPHjmHRmi0eh5jBFL&export=download
150127,PUNTA NEGRA,https://drive.google.com/uc?id=12CSsSxLCz0gPa7oYuzFAUSNjIqdfG7ho&export=download
150128,RIMAC,https://drive.google.com/uc?id=1YIUn30x9zWqjWPgitm61TRHkC2EMG06A&export=download
150129,SAN BARTOLO,https://drive.google.com/uc?id=1VLfVGLl-3ZNTNelmp2mHmVye5aHKHJS-&export=download
150130,SAN BORJA,https://drive.google.com/uc?id=1C4JHXHpXiI2aY2rsA7PtHTLAXzaR2xOT&export=download
150131,SAN ISIDRO,https://drive.google.com/uc?id=1EI_cG6odNfV1usag1D6Fjn1WMslSOvX5&export=download
150132,SAN JUAN DE LURIGANCHO,https://drive.google.com/uc?id=1MllL_-UbFaXyNeO1ftoBNKxmekAaKUTt&export=download
150133,SAN JUAN DE MIRAFLORES,https://drive.google.com/uc?id=1J_lRliuYB9zLrFyRsGJnbH8C44jiIxb7&export=download
150134,SAN LUIS,https://drive.google.com/uc?id=1I9Q4R_ryxk4fZrXUf50IsbaisBftP04Z&export=download
150135,SAN MARTIN DE PORRES,https://drive.google.com/uc?id=1TxzvgYK1RfEbo6epLELHzbbcbeVBalv5&export=download
150136,SAN MIGUEL,https://drive.google.com/uc?id=1ZRaYAZ4WtgAt3wtkV-ASccIRja1kDP3w&export=download
150137,SANTA ANITA,https://drive.google.com/uc?id=1EtPEfVaROTlYURL6V8CSMRD6T5tnzODo&export=download
150138,SANTA MARIA DEL MAR,https://drive.google.com/uc?id=1S83ExAL1iHbD2izvp97dsnoqNSi2cj3W&export=download
150139,SANTA ROSA,https://drive.google.com/uc?id=1xkq69MawJX4wVpoH7fpdPfaDn5LnQ4b_&export=download
150140,SANTIAGO DE SURCO,https://drive.google.com/uc?id=1OixwDs5YnaaDUYcWLAE0Dlj7r9ocq2S8&export=download
150141,SURQUILLO,https://drive.google.com/uc?id=1MfnvThYrKAB6GkbQh3nkEYTzOHFI7fJe&export=download
150142,VILLA EL SALVADOR,https://drive.google.com/uc?id=1Xy8HR4Nq3mFTeeoCJS52pg-r2pHF5yRY&export=download
150143,VILLA MARIA DEL TRIUNFO,https://drive.google.com/uc?id=1KpDNW_PA_LbtXc00J2sHNOG_1v97Qk8H&export=download
