listing_id,url,distrito,encabezado,moneda,precio,mantenimiento,tipo_inmueble,titulo,descripcion,rooms,bedrooms,bathrooms,area_m2,address_region,address_locality
149508558,https://urbania.pe/inmueble/clasificado/vecltein-venta-de-terreno-en-barranco-lima-149508558,BARRANCO,"Venta Terreno / Lote en Barranco S/ 1,826,000",PEN,1826000.0,,,,,,,,,,
150903014,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-casuarinas-sur-santiago-de-surco-3-dormitorios-ascensor-150903014,CASUARINAS SUR,"Venta Departamento en Casuarinas Sur S/ 730,300",PEN,730300.0,450.0,Apartment,Venta de Departamento en Santiago de Surco - Lima 3 Dormitorios y - 150903014 | Urbania Peru,"Vendo moderno e impecable departamento en 2do piso, con ascensor. Vista externa. Ubicación estratégica: cerca a Parques, Plaza Vea, colegios Inmaculada y ...",3.0,3.0,3.0,152.0,Casuarinas Sur,"Santiago de Surco, Lima, Lima, Peru urbania"
150850124,https://urbania.pe/inmueble/clasificado/vecllcin-venta-de-local-comercial-en-las-torres-de-limatambo-san-borja-150850124,LAS TORRES DE LIMATAMBO SAN BORJA,"Venta Local comercial en Las Torres De Limatambo S/ 18,500",PEN,18500.0,,,,,,,,,,
150964126,https://urbania.pe/inmueble/proyecto/veunapin-venta-de-departamento-en-residencial-san-felipe-jesus-maria-3-dormitorios-150964126,RESIDENCIAL SAN FELIPE,,,,,Apartment,Venta de Departamento en Jesús María - Lima 3 Dormitorios y - 150964126 | Urbania Peru,"3 dormitorios Tipo AX03-71.88, 3 dormitorios AX03-71.88...",3.0,3.0,2.0,71.0,Residencial San Felipe,"Jesús María, Lima, Lima, Peru urbania"
149983298,https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-chosica-lurigancho-lima-5-a-mas-dormitorios-149983298,CHOSICA (LURIGANCHO),"Venta Casa en Chosica (Lurigancho) S/ 1,096,500",PEN,1096500.0,,House,Venta de Casa en Chosica (Lurigancho) - Lima 8 Dormitorios y - 149983298 | Urbania Peru,"Vendo casa en zona exclusiva y segura de Chaclacayo, a sólo 15 minutos en auto desde el Parque Central de Chaclacayo y la Municipalidad de Chaclacayo. En ...",8.0,8.0,8.0,946.0,Chosica (Lurigancho),"Lima, Lima, Peru urbania, "
150939495,https://urbania.pe/inmueble/clasificado/vecllcin-venta-de-local-comercial-en-lima-cercado-lima-150939495,LIMA CERCADO,"Venta Local comercial en Lima Cercado S/ 2,550,000",PEN,2550000.0,,,,,,,,,,
150686621,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-bella-luz-santiago-de-surco-3-dormitorios-ascensor-150686621,BELLA LUZ,"Venta Departamento en Bella Luz S/ 1,390,000",PEN,1390000.0,900.0,Apartment,Venta de Departamento en Santiago de Surco - Lima 3 Dormitorios y - 150686621 | Urbania Peru,"¡AMPLIO DEPARTAMENTO EN VENTA O ALQUILER EN CHACARILLA – SURCO! Si buscas amplitud, comodidad y una excelente ubicación, esta es una oportunidad que no p...",3.0,3.0,2.0,183.0,Bella Luz,"Santiago de Surco, Lima, Lima, Peru urbania"
149353463,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-pershing-magdalena-3-dormitorios-ascensor-149353463,PERSHING,"Venta Departamento en Pershing S/ 565,000",PEN,565000.0,300.0,Apartment,Venta de Departamento en Magdalena - Lima 3 Dormitorios y - 149353463 | Urbania Peru,"Ubicado en Urb. Pershing, Magdalena del Mar, este moderno departamento de 82 m² destaca por su excelente distribución, iluminación natural y acabados cont...",3.0,3.0,2.0,82.0,Pershing,"Magdalena, Lima, Lima, Peru urbania"
150917300,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-isidro-lima-2-dormitorios-ascensor-150917300,SAN ISIDRO,"Venta Departamento en San Isidro S/ 467,945",PEN,467945.0,,Apartment,Venta de Departamento en San Isidro - Lima 2 Dormitorios y - 150917300 | Urbania Peru,Departamento en venta de 2 dormitorios a pocas cuadras del Parque de la Pera y el circuito de playas. Características: Sala comedor ...,2.0,2.0,2.0,54.0,San Isidro,"Lima, Lima, Peru urbania, "
64567114,https://urbania.pe/inmueble/clasificado/vecltein-venta-de-terreno-en-el-hueso-cerro-azul-64567114,EL HUESO CERRO AZUL,"Venta Terreno / Lote en El Hueso S/ 35,000",PEN,35000.0,125.0,,,,,,,,,
